instance_name,method,generator,use_time_windows,initial_routes,initial_distance,final_routes,final_distance,delta_routes,delta_distance,distance_improvement_pct,runtime_seconds,history_length,param_fill_ratio,param_seed,param_sa_initial_temp,param_sa_cooling_rate,param_sa_min_temp,param_sa_iterations_per_temp,param_sa_p_relocate,param_sa_p_exchange,param_tabu_tenure,param_tabu_max_iterations,param_tabu_max_no_improve,tabu_no_2opt
data1101.vrp,tabu,random,True,71,6068.1064123973265,15,1647.188436205567,56,4420.917976191759,72.85498433514101,285.3332826000001,1684,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,60,2000,300,False
data1101.vrp,milp,greedy,False,12,1733.9615178308554,10,1195.5640367052674,2,538.397481125588,31.050140132239523,2003.3889643000002,3,0.75,42,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False

data1102.vrp,sa,random,True,60,5903.881882580841,13,1497.9536681890906,47,4405.928214391751,74.62764841876765,477.3334622000002,227477,0.75,1,100,0.985,0.01,1500,0.7,0.1,10,200,50,False
data1102.vrp,sa,random,True,60,5903.881882580841,14,1470.2803165342164,46,4433.601566046625,75.09637987724284,240.3151300999998,253935,0.75,1,100,0.985,0.01,1500,0.3,0.1,10,200,50,False
data1102.vrp,tabu,random,True,60,5903.881882580841,14,1486.2839450394624,46,4417.597937541379,74.8253102856837,571.7078016999999,3368,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,40,4000,400,False
data1102.vrp,milp,random,False,13,5133.429793469888,10,1187.3918344283074,3,3946.0379590415805,76.86942488355913,600.3927029,3,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False

data1201.vrp,sa,random,True,46,5415.692541493366,5,1363.027315421148,41,4052.6652260722176,74.83189259770467,584.6911610999996,337771,0.75,2,350,0.985,0.001,2000,0.7,0.2,10,200,50,False
data1201.vrp,sa,random,True,46,5415.692541493366,6,1298.653083030743,40,4117.039458462623,76.02055373193984,263.7949262000002,177873,0.75,2,300,0.98,0.001,1500,0.7,0.2,10,200,50,False
data1201.vrp,tabu,random,True,44,5526.798446898165,7,1300.3094128003993,37,4226.489034097765,76.47264641014402,1035.7744679,3938,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,40,4000,400,False
data1201.vrp,milp,greedy,False,3,940.8426806362924,2,752.0148277329589,1,188.82785290333345,20.070077260486215,2000.3416284999985,2,0.75,42,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False

data1202.vrp,sa,random,True,34,5400.139156373258,4,1175.9926759385392,30,4224.146480434719,78.222919041806,593.970073800001,465983,0.75,1,250,0.99,0.001,2000,0.7,0.1,10,200,50,False
data1202.vrp,sa,random,True,34,5400.139156373258,5,1118.671786269587,29,4281.467370103671,79.28438964486077,425.55613240000093,335524,0.75,1,250,0.98,0.001,3000,0.8,0.1,10,200,50,False
data1202.vrp,tabu,random,True,34,5400.139156373258,7,1123.0207401288321,27,4277.118416244426,79.20385553762185,1025.4220276999995,2942,0.75,1,1000.0,0.995,0.01,400,0.5,0.2,50,3000,300,False
data1202.vrp,milp,greedy,False,3,940.8426806362924,2,752.0148277329589,1,188.82785290333345,20.070077260486215,2000.2907902000006,2,0.75,42,1000.0,0.995,0.01,400,0.5,0.2,10,200,50,False
